,X,subject,trialN,subj_idx,response,rt,task,relativeValue,totalValue,memSlideScore,memChoiceScore,Left_sum,Right_sum,absRelativeValue,accuracy,arr_L,arr_R,N_L,N_R,L-R,|L-R|,trial_total,order,nValDiff,task2,value_type
0,0,hwrblsy3h,1,27,1,0.6913,experiment_FR,1,59,4,0.7,30,29,1,1,"[7, 7, 3, 7, 3, 3]","[3, 8, 2, 7, 6, 3]",2,5,-3,3,1,FR_VB,3,Accuracy-Based Reward,Middle-Value
1,1,hwrblsy3h,2,27,1,1.0196,experiment_FR,3,63,4,0.7,33,30,3,1,"[4, 4, 7, 2, 8, 8]","[4, 6, 6, 7, 1, 6]",4,4,0,0,2,FR_VB,0,Accuracy-Based Reward,High-Value
2,2,hwrblsy3h,3,27,1,1.1725,experiment_FR,8,40,4,0.7,24,16,8,1,"[6, 1, 7, 6, 1, 3]","[2, 2, 1, 5, 1, 5]",4,3,1,1,3,FR_VB,1,Accuracy-Based Reward,Low-Value
3,3,hwrblsy3h,4,27,1,0.6108,experiment_FR,9,51,4,0.7,30,21,9,1,"[2, 7, 1, 5, 8, 7]","[1, 4, 3, 4, 1, 8]",5,4,1,1,4,FR_VB,1,Accuracy-Based Reward,Middle-Value
4,4,hwrblsy3h,5,27,0,1.2807,experiment_FR,-4,48,4,0.7,22,26,4,1,"[3, 3, 3, 1, 5, 7]","[8, 3, 4, 4, 4, 3]",4,3,1,1,5,FR_VB,1,Accuracy-Based Reward,Low-Value
5,5,hwrblsy3h,6,27,1,1.303,experiment_FR,4,52,4,0.7,28,24,4,1,"[6, 3, 4, 4, 7, 4]","[4, 1, 5, 2, 6, 6]",4,5,-1,1,6,FR_VB,1,Accuracy-Based Reward,Middle-Value
6,6,hwrblsy3h,7,27,1,0.5683,experiment_FR,8,58,4,0.7,33,25,8,1,"[7, 8, 7, 5, 2, 4]","[3, 8, 6, 4, 1, 3]",5,5,0,0,7,FR_VB,0,Accuracy-Based Reward,Middle-Value
7,7,hwrblsy3h,8,27,0,0.6731,experiment_FR,-11,53,4,0.7,21,32,11,1,"[8, 3, 3, 2, 1, 4]","[5, 8, 2, 7, 6, 4]",5,6,-1,1,8,FR_VB,1,Accuracy-Based Reward,Middle-Value
8,8,hwrblsy3h,11,27,0,0.8325,experiment_FR,-13,57,4,0.7,22,35,13,1,"[3, 4, 1, 4, 8, 2]","[8, 7, 5, 1, 6, 8]",5,5,0,0,9,FR_VB,0,Accuracy-Based Reward,Middle-Value
9,9,hwrblsy3h,12,27,1,1.5793,experiment_FR,8,60,4,0.7,34,26,8,1,"[7, 5, 5, 4, 5, 8]","[1, 6, 6, 1, 4, 8]",4,4,0,0,10,FR_VB,0,Accuracy-Based Reward,High-Value
10,10,hwrblsy3h,14,27,1,1.0526,experiment_FR,4,48,4,0.7,26,22,4,1,"[6, 6, 1, 3, 8, 2]","[3, 5, 7, 2, 1, 4]",5,6,-1,1,11,FR_VB,1,Accuracy-Based Reward,Low-Value
11,11,hwrblsy3h,15,27,0,1.1134,experiment_FR,-3,49,4,0.7,23,26,3,1,"[6, 1, 5, 7, 1, 3]","[2, 7, 2, 2, 8, 5]",5,4,1,1,12,FR_VB,1,Accuracy-Based Reward,Middle-Value
12,12,hwrblsy3h,16,27,0,1.1685,experiment_FR,1,53,4,0.7,27,26,1,0,"[6, 2, 5, 2, 7, 5]","[7, 7, 1, 2, 7, 2]",4,3,1,1,13,FR_VB,1,Accuracy-Based Reward,Middle-Value
