,Phase,SubjectNumber,Trial,Timestamp,ValL,ValR,OV,val1BL,val2BL,val1BM,val2BM,val1BR,val2BR,val1TL,val2TL,val1TM,val2TM,val2TR,cueLoc,choice,nValsL,nValsR,accuracy,skew
0,2,105,1,0.65217,-7,-2,-9,-3,0,1,0,-2,-2,-1,2,-3,0,-2,R,0,4,3,1,0.03499760574164727
1,2,105,2,0.8526,-2,3,1,-1,2,-2,1,-2,1,1,0,1,2,-3,L,0,3,4,1,0.03499760574164727
2,2,105,3,0.65148,-11,-1,-12,-2,-2,-1,2,1,2,-4,2,-2,-2,-3,C,0,5,3,1,0.03499760574164727
3,2,105,4,1.0185,-10,-10,-20,1,-2,-1,-3,-4,1,-3,0,-4,-3,-3,R,1,4,3,1,0.03499760574164727
4,2,105,5,0.91941,1,-5,-4,3,-3,2,0,-2,-3,-2,-3,2,2,2,C,0,3,3,0,0.03499760574164727
5,2,105,6,1.7184,15,10,25,3,2,3,2,3,1,0,2,3,1,2,C,0,2,2,0,0.03499760574164727
6,2,105,7,1.9853,-2,-7,-9,2,0,-1,-1,1,1,2,1,-3,-4,-4,R,1,4,4,1,0.03499760574164727
7,2,105,8,1.0518,-13,-3,-16,-3,-3,-1,2,-4,2,-1,1,-1,-2,-3,L,0,3,4,1,0.03499760574164727
8,2,105,9,0.58526,-3,-12,-15,-3,-3,2,-3,2,-2,-2,0,-1,-3,-1,L,1,4,3,1,0.03499760574164727
9,2,105,10,0.65187,5,-3,2,2,0,1,-2,3,2,-2,-3,3,-1,1,R,1,4,5,1,0.03499760574164727
10,2,105,11,0.96845,1,-2,-1,1,-1,-1,-3,-1,2,0,-3,1,2,1,R,1,3,4,1,0.03499760574164727
11,2,105,12,0.66837,-10,-4,-14,-2,2,1,0,-2,-3,-3,-3,-2,2,-2,R,0,3,4,1,0.03499760574164727
12,2,105,13,1.9514,7,-2,5,-2,-1,0,2,3,-3,3,-1,1,-1,2,L,1,5,2,1,0.03499760574164727
13,2,105,14,1.4687,2,-1,1,0,-1,-2,2,1,-2,2,-2,-2,1,1,C,0,5,4,0,0.03499760574164727
14,2,105,15,0.58513,-2,-7,-9,2,0,-2,-2,2,-2,-3,-2,2,-2,1,C,1,3,3,1,0.03499760574164727
15,2,105,16,2.2513,2,4,6,-3,-2,0,1,2,1,-1,-2,2,3,3,C,0,4,3,1,0.03499760574164727
16,2,105,17,2.1017,-5,0,-5,0,0,-2,-1,-1,-2,1,1,1,2,0,C,0,5,4,1,0.03499760574164727
17,2,105,18,0.76849,2,-8,-6,1,-3,0,-3,-2,-2,-2,1,2,-1,0,C,1,5,4,1,0.03499760574164727
18,2,105,19,0.96805,5,-2,3,2,2,1,-1,3,1,3,2,-2,-3,-3,L,1,4,3,1,0.03499760574164727
19,2,105,20,2.7347,-3,0,-3,-3,-1,2,-1,2,0,-2,2,-1,-1,1,R,1,4,3,0,0.03499760574164727
20,2,105,21,1.3523,-3,-4,-7,2,1,-2,-2,-1,1,0,-3,1,1,-2,L,1,6,3,1,0.03499760574164727
21,2,105,22,1.0679,6,-4,2,2,-1,0,-1,3,2,1,-3,0,-3,2,L,1,4,3,1,0.03499760574164727
22,2,105,23,1.1523,5,0,5,2,1,0,-1,2,0,2,-1,-1,1,0,L,1,3,3,1,0.03499760574164727
23,2,105,24,1.0686,-10,5,-5,-1,2,-2,-3,-4,2,-3,1,0,1,2,R,0,5,3,1,0.03499760574164727
24,2,105,25,2.2686,-4,-4,-8,-2,-4,0,1,-2,-4,-1,1,-1,1,1,C,0,4,2,1,0.03499760574164727
25,2,105,26,0.8016,4,6,10,2,3,1,-1,-3,3,2,3,2,-2,0,C,1,4,4,0,0.03499760574164727
26,2,105,27,1.968,-12,-7,-19,-3,-2,-2,-1,-1,-3,-4,2,1,0,-3,L,0,5,5,1,0.03499760574164727
27,2,105,28,1.3518,-1,-5,-6,-2,-1,1,-3,1,2,3,-3,-2,-2,2,L,1,3,4,1,0.03499760574164727
28,2,105,29,1.2681,5,4,9,2,1,2,1,2,2,-1,-2,1,3,-1,C,1,3,4,1,0.03499760574164727
29,2,105,30,1.0187,7,2,9,3,0,3,0,3,-1,-1,1,-2,0,2,C,1,4,3,1,0.03499760574164727
30,2,105,31,1.7679,-2,-1,-3,1,1,1,-3,0,0,-2,-1,1,0,2,C,1,4,5,0,0.03499760574164727
31,2,105,32,1.3517,-9,-4,-13,1,-3,0,0,-4,2,-3,-3,-4,-1,1,R,1,4,4,0,0.03499760574164727
32,2,105,33,2.3686,5,6,11,1,1,2,-1,2,3,2,3,-1,2,-2,R,1,3,5,0,0.03499760574164727
33,2,105,34,0.86851,-4,-6,-10,-1,0,-1,-2,2,1,-3,-1,-3,-2,-2,C,1,3,3,1,0.03499760574164727
34,2,105,35,1.2182,-6,-7,-13,1,-3,-4,-2,-2,1,0,-1,1,-2,0,C,1,4,4,1,0.03499760574164727
35,2,105,36,1.8353,-7,-8,-15,-1,-2,1,-2,-2,-2,-1,-3,-4,2,-1,C,1,5,4,1,0.03499760574164727
36,2,105,37,1.0184,-4,-12,-16,2,0,2,-2,-3,-4,1,-4,-3,0,-2,C,1,3,3,1,0.03499760574164727
37,2,105,38,0.88588,-6,7,1,2,-2,-2,3,-2,3,0,0,-3,2,1,C,0,5,5,1,0.03499760574164727
38,2,105,39,1.6687,8,5,13,0,0,1,3,2,-2,1,3,2,-2,3,R,1,3,3,1,0.03499760574164727
39,2,105,40,1.8183,2,-4,-2,0,2,3,0,0,-3,-1,-3,0,2,-2,L,0,3,4,0,0.03499760574164727
40,2,105,41,1.8521,-2,-9,-11,1,1,2,-3,0,-3,-2,-1,-2,1,-4,L,1,5,4,1,0.03499760574164727
41,2,105,42,0.96822,-12,-20,-32,-2,-4,1,-3,-3,-3,-3,-3,-3,-3,-4,L,1,3,2,1,0.03499760574164727
42,2,105,43,2.7352,-2,1,-1,0,1,1,1,3,2,-2,0,-2,0,-3,L,0,4,3,1,0.03499760574164727
43,2,105,44,1.5016,1,-9,-8,0,-3,-2,-3,-1,0,1,-3,0,2,-2,R,1,5,3,1,0.03499760574164727
44,2,105,45,3.8179,1,0,1,1,-2,-2,0,1,1,0,-2,0,1,2,R,0,3,4,0,0.03499760574164727
45,2,105,46,1.4022,-5,-11,-16,-3,1,0,0,-3,-4,-3,-4,2,0,-4,L,1,3,3,1,0.03499760574164727
46,2,105,47,1.7015,-7,-9,-16,0,-4,-1,-4,-3,1,1,-2,-3,-1,1,R,1,4,4,1,0.03499760574164727
47,2,105,48,1.3352,-6,5,-1,-1,1,-3,2,1,2,1,2,0,-1,-1,C,0,5,3,1,0.03499760574164727
48,2,105,49,0.9354,-8,2,-6,-4,-3,-1,0,-1,2,-4,-1,1,2,2,R,0,3,4,1,0.03499760574164727
49,2,105,50,0.61866,9,-6,3,2,2,-2,-2,3,-3,1,-2,3,-3,2,R,1,4,3,1,0.03499760574164727
50,2,105,51,1.8179,-5,-3,-8,-1,-4,-2,1,-1,0,-3,1,2,0,-1,L,0,5,4,1,0.03499760574164727
51,2,105,52,3.2679,-5,-2,-7,-2,2,0,-2,-2,-2,2,0,-3,2,-2,L,0,4,3,1,0.03499760574164727
52,2,105,54,2.4184,-2,-5,-7,-1,-4,2,-2,-3,1,-1,1,-1,-1,0,L,1,3,5,1,0.03499760574164727
53,2,105,55,0.60222,-2,-14,-16,-3,-4,2,1,0,-4,2,-4,-2,1,-4,L,1,5,2,1,0.03499760574164727
54,2,105,56,0.80191,-8,5,-3,-1,2,-1,2,0,2,-4,-1,1,1,-1,R,0,5,3,1,0.03499760574164727
55,2,105,57,0.66876,-1,10,9,1,3,-3,3,0,2,-1,0,0,3,-1,C,0,5,3,1,0.03499760574164727
56,2,105,58,0.6682,-2,-5,-7,2,-1,0,0,-3,0,0,-2,0,0,-2,R,1,4,3,1,0.03499760574164727
57,2,105,59,0.51863,-2,9,7,-3,0,-3,3,2,2,1,3,0,3,-2,R,0,4,3,1,0.03499760574164727
58,2,105,60,0.5023,-6,8,2,2,0,-3,3,-1,2,1,1,-2,2,0,R,0,5,4,1,0.03499760574164727
59,2,105,61,0.98543,-3,-2,-5,-2,-3,1,-3,0,2,1,1,1,0,1,C,1,4,3,0,0.03499760574164727
60,2,105,62,0.88504,1,3,4,2,0,-1,-2,2,1,-2,3,2,2,-1,C,1,3,5,0,0.03499760574164727
61,2,105,63,0.78472,1,5,6,0,2,1,2,-3,2,1,2,1,0,-3,R,0,3,3,1,0.03499760574164727
62,2,105,64,1.5351,-14,-5,-19,0,-2,-4,0,-4,-2,-2,2,0,-3,0,L,0,3,4,1,0.03499760574164727
63,2,105,65,0.88536,-14,1,-13,-2,1,-1,1,1,2,-4,0,-4,0,-3,R,0,4,3,1,0.03499760574164727
64,2,105,66,0.83478,-3,-1,-4,-3,-1,2,1,2,-2,1,1,-2,1,-1,C,1,4,2,0,0.03499760574164727
65,2,105,67,0.68556,6,-7,-1,3,-3,-2,-2,0,1,2,-1,3,-2,0,C,1,4,4,1,0.03499760574164727
66,2,105,68,0.6019,-5,9,4,1,3,-1,-1,1,1,-2,3,-1,0,3,L,0,4,3,1,0.03499760574164727
67,2,105,69,0.63508,11,-2,9,3,-1,1,0,-2,2,3,-2,3,-3,2,C,1,3,5,1,0.03499760574164727
68,2,105,70,1.702,-6,-2,-8,-4,2,1,-2,-1,-2,1,0,-4,-2,2,R,0,3,3,1,0.03499760574164727
69,2,105,71,0.90222,6,-2,4,-2,2,3,-2,1,-2,3,0,-2,-2,2,L,1,3,3,1,0.03499760574164727
70,2,105,72,1.2681,4,3,7,-1,-2,0,-2,0,3,2,3,2,-2,3,L,1,4,2,1,0.03499760574164727
71,2,105,73,1.252,1,-6,-5,1,-2,1,-3,-2,-1,0,2,0,1,-3,R,1,3,4,1,0.03499760574164727
72,2,105,74,1.8346,-7,-1,-8,0,-1,-1,-1,-4,1,1,2,1,-1,-1,C,1,4,2,0,0.03499760574164727
